epoch,accuracy,loss,val_accuracy,val_loss
0,0.806492030620575,0.5087954998016357,NA,NA
1,0.8068046569824219,0.5057477355003357,NA,NA
2,0.8083741664886475,0.4970017671585083,NA,NA
3,0.8104052543640137,0.48853299021720886,NA,NA
4,0.8101733922958374,0.49023568630218506,NA,NA
5,0.8090187907218933,0.49401262402534485,NA,NA
6,0.810994565486908,0.4830237329006195,NA,NA
7,0.8119313716888428,0.47577473521232605,NA,NA
8,0.8123646378517151,0.4700460433959961,NA,NA
9,0.8123052716255188,0.46892404556274414,NA,NA
10,0.8128169178962708,0.4664807617664337,NA,NA
11,0.8157700896263123,0.4514490067958832,NA,NA
12,0.8160094022750854,0.44531750679016113,NA,NA
13,0.8106028437614441,0.48904162645339966,NA,NA
14,0.8112593293190002,0.47874870896339417,NA,NA
15,0.8117209672927856,0.4700325131416321,NA,NA
16,0.8121679425239563,0.459094762802124,NA,NA
17,0.8145155310630798,0.43885403871536255,NA,NA
18,0.8309531211853027,0.3893972933292389,NA,NA
19,0.8425264358520508,0.36868998408317566,NA,NA
20,0.853328287601471,0.35380807518959045,NA,NA
21,0.8551099300384521,0.354624480009079,NA,NA
22,0.8581475019454956,0.3471919298171997,NA,NA
23,0.8589823246002197,0.3428948223590851,NA,NA
24,0.8581857681274414,0.34372851252555847,NA,NA
