epoch,accuracy,loss,val_accuracy,val_loss
0,0.49052175879478455,1.3771919012069702,NA,NA
1,0.8467644453048706,0.3798271715641022,NA,NA
2,0.8604548573493958,0.341807097196579,NA,NA
3,0.8673361539840698,0.3238529562950134,NA,NA
4,0.8378069996833801,0.4104160964488983,NA,NA
5,0.8726688623428345,0.3076651096343994,NA,NA
6,0.8562828302383423,0.35335737466812134,NA,NA
7,0.8557766675949097,0.3593516945838928,NA,NA
8,0.8734087944030762,0.3051694631576538,NA,NA
9,0.8744426369667053,0.3027745187282562,NA,NA
10,0.8724839091300964,0.30602750182151794,NA,NA
11,0.8750590085983276,0.30169862508773804,NA,NA
12,0.8759119510650635,0.300339937210083,NA,NA
13,0.8763309121131897,0.2998562455177307,NA,NA
14,0.8764302730560303,0.2997436821460724,NA,NA
15,0.8749985694885254,0.30148065090179443,NA,NA
16,0.8745250105857849,0.30162346363067627,NA,NA
17,0.8745909333229065,0.3008781969547272,NA,NA
18,0.8743541240692139,0.30192482471466064,NA,NA
19,0.875335693359375,0.3011707663536072,NA,NA
20,0.8760678768157959,0.29976680874824524,NA,NA
21,0.8766276836395264,0.29885903000831604,NA,NA
22,0.8768583536148071,0.29795148968696594,NA,NA
23,0.8764632344245911,0.2987154424190521,NA,NA
24,0.8763108849525452,0.29862719774246216,NA,NA
